"employer_name","reviews_count","culture_count","salaries_count","benefits_count","employer_website","employer_headquarters","employer_founded","employer_industry","employer_revenue","url","geral","cultura_e_valores","diversidade_e_inclusao","qualidade_de_vida","alta_lideranca","remuneracao_e_beneficios","oportunidades_de_carreira","recomendam_para_outras_pessoas","perspectiva_positiva_da_empresa","segmento","nome","match_percent","ano","trimestre","categoria","tipo","cnpj","instituicao_financeira","indice","quantidade_de_reclamacoes_reguladas_procedentes","quantidade_de_reclamacoes_reguladas_outras","quantidade_de_reclamacoes_nao_reguladas","quantidade_total_de_reclamacoes","quantidade_total_de_clientes_ccs_e_scr","quantidade_de_clientes_ccs","quantidade_de_clientes_scr"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",null,"6","3","0","9","3843","0","3843"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",null,"28","9","2","39","1616",null,"1616"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.","14.015,05","54","21","1","76","3853",null,"3853"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.","16.699,13","60","39","6","105","3593",null,"3593"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",null,"24","41","4","69","45080","44177","1328"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,BANCO ABN AMRO S.A.,null,"0","0","3","3","98","71","31"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,BANCO ABN AMRO S.A.,null,"0","0","1","1","76","54","23"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,BANCO ABN AMRO S.A.,null,"0","0","1","1","41","41","1"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO ABN AMRO S.A.,null,"0","0","2","2","26","26","1"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,"SOCINAL S.A. - CR�DITO, FINANCIAMENTO E INVESTIMENTO",null,"0","1","5","6","3398","1813","1585"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,"SOCINAL S.A. - CR�DITO, FINANCIAMENTO E INVESTIMENTO",null,"1","5","9","15","1992","467","1525"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,"SOCINAL S.A. - CR�DITO, FINANCIAMENTO E INVESTIMENTO",null,"1","3","7","11","2088","460","1628"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"SOCINAL S.A. - CR�DITO, FINANCIAMENTO E INVESTIMENTO",null,"4","3","9","16","2151","458","1693"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,"SOCINAL S.A. - CR�DITO, FINANCIAMENTO E INVESTIMENTO",null,"5","3","8","16","2230","452","1778"
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"2","2","3","7","49879",null,"49879"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"2","4","8","14","51049",null,"51049"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",null,"0","6","1","7","52001",null,"52001"
