"employer_name","reviews_count","culture_count","salaries_count","benefits_count","employer_website","employer_headquarters","employer_founded","employer_industry","employer_revenue","url","geral","cultura_e_valores","diversidade_e_inclusao","qualidade_de_vida","alta_lideranca","remuneracao_e_beneficios","oportunidades_de_carreira","recomendam_para_outras_pessoas","perspectiva_positiva_da_empresa","segmento","nome","match_percent","ano","trimestre","categoria","tipo","cnpj","instituicao_financeira","indice","quantidade_de_reclamacoes_reguladas_procedentes","quantidade_de_reclamacoes_reguladas_outras","quantidade_de_reclamacoes_nao_reguladas","quantidade_total_de_reclamacoes","quantidade_total_de_clientes_ccs_e_scr","quantidade_de_clientes_ccs","quantidade_de_clientes_scr"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,CREDI-SHOP S/A - INSTITUI��O DE PAGAMENTO,null,"0","1","0","1","724468",null,"724468"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,CREDI-SHOP S/A - INSTITUI��O DE PAGAMENTO,null,"0","3","0","3","718253",null,"718253"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,REPOM S.A.,null,"1","0","1","2","264544","264542","4"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,REPOM S.A.,null,"0","1","0","1","267987","267985","4"
Banco Alfa,"175","74","271","105",http://www.alfanet.com.br,"SÃ£o Paulo, Brasil","1925.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm","3.5","3.2","3.2","3.1","2.8","3.8","2.7","68.0","47.0","58160789",SAFRA,"67",,,,,,,,,,,,,,
China Construction Bank,"871","194","720","240",http://www.ccb.com,"Pequim, China",null,"/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Mais de US$Â 10 bilhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-China-Construction-Bank-EI_IE12617.13,36.htm","3.4","3.0","3.0","3.4","2.9","3.5","2.8","54.0","42.0","7450604",CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/,"77",,,,,,,,,,,,,,
Mercedes-Benz Mobility,"282","90","513","118",https://www.mercedes-benz-mobility.com/de/karriere/,"Estugarda, Alemanha","1990.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Mais de US$Â 10 bilhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Mercedes-Benz-Mobility-EI_IE38563.13,35.htm","4.1","4.1","4.0","4.4","3.7","4.0","3.6","87.0","51.0","60814191",MERCEDES-BENZ,"73",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,BANCO JOHN DEERE S.A.,null,"0","1","0","1","15036","254","14848"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,BANCO JOHN DEERE S.A.,null,"1","1","0","2","14199","254","14008"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2405189",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2412022",,,,,,,,,
Sumitomo Mitsui Financial Group,"903","246","1300","290",http://www.smfg.co.jp,"TÃ³quio, JapÃ£o","1996.0","/Explorar/melhores-gestÃ£o-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$Â 10 bilhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Sumitomo-Mitsui-Financial-Group-EI_IE256138.13,44.htm","3.4","3.2","3.3","3.4","3.1","3.3","3.1","56.0","53.0","60518222",BANCO SUMITOMO MITSUI BRASIL S.A.,"65",,,,,,,,,,,,,,
BNP Paribas,"13000","4100","20000","3600",http://www.group.bnpparibas,"Paris, FranÃ§a","2000.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Mais de US$Â 10 bilhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm","3.8","3.7","4.0","3.8","3.4","3.4","3.5","77.0","63.0",S3,BNP PARIBAS,"100",,,,,,,,,,,,,,
BTG Pactual,"1600","683","2800","635",http://www.btgpactual.com,"SÃ£o Paulo, Brasil",null,"/Explorar/melhores-gestÃ£o-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BTG-Pactual-EI_IE411540.13,24.htm","4.0","3.7","3.5","2.8","3.7","4.4","4.2","78.0","73.0",S1,BTG PACTUAL,"100",,,,,,,,,,,,,,
Banco Alfa,"175","74","271","105",http://www.alfanet.com.br,"SÃ£o Paulo, Brasil","1925.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm","3.5","3.2","3.2","3.1","2.8","3.8","2.7","68.0","47.0",S3,ALFA,"100",,,,,,,,,,,,,,
Banco BMG,"445","232","704","277",http://www.bancobmg.com.br,"SÃ£o Paulo, Brasil","1930.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",De US$Â 1 a US$Â 5 milhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm","4.1","3.9","4.1","3.7","3.6","4.2","3.5","79.0","63.0",S3,BMG,"100",,,,,,,,,,,,,,
Banco Bradesco,"11000","3300","19000","3200",http://www.bancobradesco.com.br,"Osasco, Brasil","1943.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Mais de US$Â 10 bilhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm","4.2","3.8","3.9","3.4","3.4","4.3","3.8","81.0","66.0",S1,BRADESCO,"100",,,,,,,,,,,,,,
Banco Daycoval,"300","157","521","107",https://www.daycoval.com.br,"SÃ£o Paulo, Brasil","1971.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",De US$Â 25 a US$Â 100 milhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm","4.0","3.7","3.6","3.4","3.3","4.1","3.4","78.0","72.0",S3,BANCO DAYCOVAL S.A,"100",,,,,,,,,,,,,,
Banco Fibra,"119","41","172","37",http://www.bancofibra.com.br,"SÃ£o Paulo, Brasil",null,"/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm","4.3","4.3","4.3","3.8","3.7","4.2","3.6","87.0","84.0",S3,BANCO FIBRA S.A.,"100",,,,,,,,,,,,,,
Banco Original,"651","286","1100","261",http://www.original.com.br,"SÃ£o Paulo, Brasil","2016.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Original-EI_IE1026577.13,27.htm","3.8","3.4","3.5","3.4","3.1","4.0","3.3","71.0","53.0",S3,ORIGINAL,"100",,,,,,,,,,,,,,
Banco PAN,"1100","520","1700","493",http://www.bancopan.com.br,"SÃ£o Paulo, Brasil","2011.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-PAN-EI_IE1184444.13,22.htm","4.4","4.2","4.4","3.9","3.9","4.6","4.0","91.0","79.0",S3,PAN,"100",,,,,,,,,,,,,,
Banco Pine,"121","45","216","63",http://www.pine.com,"SÃ£o Paulo, Brasil","1997.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Pine-EI_IE1086238.13,23.htm","3.8","3.5","3.5","3.4","3.0","3.9","3.5","71.0","50.0",S3,PINE,"100",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"68389",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"68987",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,NOVO BANCO CONTINENTAL S.A. - BANCO M�LTIPLO,null,"11","22","0","33","91784","3074","89140"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,NOVO BANCO CONTINENTAL S.A. - BANCO M�LTIPLO,null,"13","51","0","64","94773","3107","92103"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,NOVO BANCO CONTINENTAL S.A. - BANCO M�LTIPLO,null,"5","29","0","34","99651","3135","96953"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,NOVO BANCO CONTINENTAL S.A. - BANCO M�LTIPLO,null,"17","79","0","96","121786","3155","119057"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,NOVO BANCO CONTINENTAL S.A. - BANCO M�LTIPLO,null,"3","41","1","45","198099","3202","195343"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"75847",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"106180",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"122327",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"129753",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"141155",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"184068",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"204963",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"250699",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"253448",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"259231",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"309024",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"315406",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"315557",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"329598",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"336036",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"360305",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"411939",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"416968",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"429890",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"460065",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"512839",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"517645",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"543968",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"548980",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"556603",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"655522",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"692214",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"694389",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"694877",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"698609",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"707903",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"731320",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"778858",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,BANCO OURINVEST S.A.,null,"0","1","0","1","42561","40252","2342"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,BANCO OURINVEST S.A.,null,"0","2","0","2","44303","41822","2504"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,BANCO OURINVEST S.A.,null,"5","2","0","7","50060","47319","2771"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO OURINVEST S.A.,null,"2","2","0","4","88234","85073","3199"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO OURINVEST S.A.,null,"2","8","1","11","131481","127917","3611"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"795423",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO RNX S.A.,null,"0","0","1","1","2261","57","2219"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"803287",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"804046",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"806535",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"815319",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"869687",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"881829",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2021","1�",Grupo Secund�rio,Banco/financeira,,BANCO DIGIMAIS S.A.,"484,31","143","36","54","233","295260","168966","177621"
,,,,,,,,,,,,,,,,,,,,,,,"2021","2�",Demais bancos e financeiras,Banco/financeira,,BANCO DIGIMAIS S.A.,"212,14","79","23","26","128","372393","238155","195709"
,,,,,,,,,,,,,,,,,,,,,,,"2021","3�",Demais bancos e financeiras,Banco/financeira,,BANCO DIGIMAIS S.A.,"258,94","102","28","34","164","393906","266246","192853"
,,,,,,,,,,,,,,,,,,,,,,,"2021","4�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO DIGIMAIS S.A.,"444,90","202","29","55","286","454034","302771","209881"
,,,,,,,,,,,,,,,,,,,,,,,"2022","1�","Demais Bancos, Financeiras e Institui��es de Pagamento",Banco/financeira,,BANCO DIGIMAIS S.A.,"657,93","217","48","44","309","329820","172712","211804"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"946465",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"952415",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"966246",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"968602",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"968834",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"971297",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"971300",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"977212",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"991739",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"997185",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1009908",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1023570",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1039011",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1042487",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1060307",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1062439",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1073966",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1086342",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1090027",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1107759",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1110032",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1151186",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1152097",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1155801",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1181521",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1187961",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1201006",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1205736",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1235921",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1259518",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1286361",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1288797",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1296040",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1301541",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1330295",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1330387",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1374196",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1389651",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1401771",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1439107",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1499278",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1504952",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1522368",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1526924",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1530136",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1551820",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1559914",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1566038",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1572667",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1582158",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1601342",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1604998",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1608685",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1609345",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1634601",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1635462",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1637949",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1644264",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1657678",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1658426",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1664968",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1667352",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1667766",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1692448",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1699652",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1703620",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1705236",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1709266",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1720488",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1727929",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1736243",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1736516",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1739375",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1760242",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1788147",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1796302",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1800019",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1819799",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1825968",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1848322",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1852137",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1864151",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1869822",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1918144",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997612",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2000895",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015588",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024442",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025743",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2031139",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2038232",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2057584",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2072790",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2083914",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2090126",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2093154",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2104058",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2115870",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2137018",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2144899",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2159014",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2173447",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2179673",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2191265",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2192115",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2197569",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2208747",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2217068",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2230138",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2232228",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2232383",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2245493",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2250781",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2250794",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2254376",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2275781",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2282165",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2282709",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2285107",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2295034",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2309070",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2312896",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2318507",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2321862",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2330334",,,,,,,,,
Banco Votorantim,"1400","563","2100","574",http://www.bancobv.com.br,"SÃ£o Paulo, Brasil","1991.0","/Explorar/melhores-gestÃ£o-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-banco-BV-EI_IE333951.13,21.htm","4.4","4.3","4.4","4.1","3.9","4.6","3.9","93.0","79.0",S2,VOTORANTIM,"100",,,,,,,,,,,,,,
Banco do Brasil,"5000","1100","9200","1200",https://www.bb.com.br,"BrasÃ­lia, Brasil","1808.0","/Explorar/melhores-serviÃ§os-bancÃ¡rios-e-de-crÃ©dito-empresas_II.9,40_IIND200048.htm",Desconhecida/nÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-do-Brasil-EI_IE3945.13,28.htm","4.3","3.9","4.0","3.7","3.5","4.2","3.8","86.0","72.0",S1,BANCO DO BRASIL,"100",,,,,,,,,,,,,,
Banco do Nordeste do Brasil,"525","113","840","115",http://www.bnb.gov.br,"Fortaleza, Brasil",null,"/Explorar/melhores-gestÃ£o-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Desconhecido/NÃ£o se aplica,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-do-Nordeste-do-Brasil-EI_IE436304.13,40.htm","4.5","4.4","4.3","4.3","4.1","4.2","4.0","90.0","83.0",S2,BANCO DO NORDESTE DO BRASIL S.A.,"100",,,,,,,,,,,,,,
